Étiquettes de lignes;Nombre de DC_LANGUAGE
allemand;209
;8
Agriculture;1
Allemand et langues germaniques;3
Anglais et vieil anglais;1
Architecture;2
Astronomie;1
Autres religions;4
Biographie et généalogie;2
Dessin et arts décoratifs;5
Économie;1
Français et langues romanes;1
Géographie et voyages;3
Histoire de l'Amérique du Nord;3
Histoire de l'Asie;1
Ingénierie;80
Littérature;2
Littérature canadienne et québécoise;63
Littératures allemande et des langues germaniques;1
Littératures française et des langues romanes;6
Médecine et santé;4
Musique;6
Peinture;1
Philosophie et théorie de la religion;1
Philosophie occidentale moderne;1
Psychologie;1
"Sciences de la vie ; biologie";3
Sciences sociales;3
Sports, jeux et divertissement;1
Total général;209
